Index,avg_price_per_kg
1,11.361
2,12.404
3,10.616000000000001
4,9.634000000000002
5,8.671000000000001
6,4.388
7,4.351999999999999
8,8.387
9,8.873000000000001
10,10.167
11,5.845000000000001
12,5.6419999999999995
13,9.004000000000001
14,5.019
15,5.26
16,6.509
17,9.032
18,5.063000000000001
19,11.597999999999999
20,6.4590000000000005
21,6.422
22,5.098000000000001
23,6.5
24,8.563
25,6.0550000000000015
26,5.805
27,7.364
28,8.681999999999999
29,8.239
30,8.400000000000002
31,9.012000000000002
32,6.124999999999999
33,10.051
34,8.206
35,4.938999999999999
36,10.637000000000002
37,11.419999999999998
38,11.861
39,6.619999999999999
40,6.938
41,8.470000000000002
42,8.648999999999997
43,5.488
44,6.995
45,5.991000000000002
46,6.226000000000001
47,5.369
48,6.037000000000002
49,6.509
50,4.9719999999999995
51,1.7860000000000003
52,6.773000000000001
53,6.994
54,14.120999999999999
55,9.292000000000002
56,6.902000000000001
57,11.724
58,13.193000000000001
59,8.222000000000001
60,7.161
61,7.790999999999999
62,11.529999999999998
63,7.025999999999999
64,10.148
65,6.049999999999999
66,6.371999999999999
67,7.431
68,5.048
69,5.478
70,7.773000000000001
71,6.058000000000001
72,5.154
73,4.002
74,8.65
75,7.641000000000001
76,5.514000000000001
77,6.486
78,9.780999999999999
79,11.838000000000001
80,7.114
81,6.921999999999999
82,5.374
83,6.218
84,5.991000000000002
85,1.5399999999999998
86,6.781000000000001
87,7.893000000000001
88,11.544
89,5.066
90,7.191
91,10.133
92,10.001999999999999
93,7.383000000000001
94,6.36
95,6.962000000000001
96,6.465000000000001
97,8.976
98,9.933000000000002
99,7.7
100,6.0550000000000015
101,11.701999999999998
102,6.574000000000001
103,5.043000000000001
104,8.287
105,7.802999999999999
106,9.407
107,7.557
108,3.119
109,10.616000000000001
110,5.2219999999999995
111,4.083
112,8.203000000000001
113,6.509
114,4.6979999999999995
115,6.903999999999999
116,10.616000000000001
117,6.643000000000001
118,10.522999999999998
119,5.025
120,7.104000000000001
121,6.75
122,4.303
123,10.142
124,4.477
125,9.428
126,8.372
127,4.9479999999999995
128,9.453
129,10.554
130,6.37
131,7.677000000000001
132,6.110000000000002
133,9.779
134,9.364
135,1.206
136,6.675999999999999
137,8.573
138,8.269
139,8.186
140,6.685
141,8.69
142,5.511999999999999
143,9.54
144,5.6160000000000005
145,9.833
146,7.297999999999999
147,7.0489999999999995
148,8.176999999999998
149,6.197000000000001
150,8.966999999999999
151,10.616000000000001
152,8.453
153,8.44
154,7.668000000000001
155,7.737
156,11.837
157,5.712000000000001
158,5.376
159,6.654000000000001
160,6.639
161,8.234000000000002
162,10.193000000000001
163,7.528999999999999
164,7.716000000000001
165,7.220999999999999
166,8.929
167,8.404
168,8.202
169,5.560000000000001
170,7.926
171,9.526000000000002
172,9.708000000000002
173,6.311
174,11.766
175,6.608
176,4.98
177,7.227999999999999
178,6.052000000000002
179,6.379
180,7.441
181,5.342
182,2.1909999999999994
183,10.919
184,7.88
185,7.004
186,2.1909999999999994
187,6.7989999999999995
188,10.649000000000001
189,7.592000000000001
190,7.4239999999999995
191,6.027000000000003
192,9.425
193,5.4239999999999995
194,5.26
195,10.616000000000001
196,8.47
197,9.52
198,7.727000000000001
199,5.766
200,7.764
201,8.122000000000002
202,3.024
203,8.461
204,2.2949999999999995
205,7.128
206,4.4879999999999995
207,8.728
208,8.563
209,8.319999999999999
210,9.231
211,7.906999999999999
212,13.988
213,7.023000000000001
214,6.955
215,10.047
216,6.009000000000002
217,6.335
218,7.206999999999999
219,11.07
220,8.117999999999999
221,5.976
222,5.812
223,8.562000000000001
224,11.687
225,11.878
226,6.8069999999999995
227,6.629
228,6.583
229,9.52
230,6.009000000000002
231,5.997999999999999
232,11.372
233,8.206
234,6.537999999999999
235,7.578
236,6.509
237,10.033000000000001
238,9.613000000000003
239,4.302
240,6.685
241,5.024
242,6.728
243,6.876
244,8.465
245,11.838000000000001
246,7.481
247,4.8870000000000005
248,8.293000000000001
249,6.675
250,10.344000000000001
251,8.044999999999998
252,9.835999999999999
253,5.227
254,5.773000000000001
255,7.395999999999999
256,4.694999999999999
257,7.398999999999999
258,9.416999999999998
259,9.602
260,9.326000000000002
261,11.180000000000001
262,11.204000000000002
263,6.915000000000001
264,6.543000000000001
265,5.560000000000001
266,7.949
267,5.543
268,6.933
269,5.0
270,7.395999999999999
271,8.366000000000001
272,7.294
273,11.369
274,1.166
275,9.292999999999997
276,10.125
277,4.981
278,7.355999999999999
279,7.140000000000001
280,7.146000000000001
281,5.726
282,7.0699999999999985
283,5.306
284,5.019
285,10.05
286,4.714
287,6.632
288,5.711
289,8.767999999999999
290,8.325999999999999
291,5.521
292,6.268000000000001
293,5.916000000000001
294,1.206
295,6.969000000000001
296,7.471000000000001
297,9.877
298,8.188999999999998
299,8.812000000000001
300,6.815
301,6.016000000000003
302,6.696000000000001
303,5.027
304,6.927
305,9.159
306,9.822000000000001
307,6.685
308,4.0440000000000005
309,7.065
310,6.747
311,5.970000000000001
312,7.072999999999999
313,5.906000000000001
314,9.364
315,11.153000000000002
316,9.636000000000001
317,6.486
318,6.4159999999999995
319,5.89
320,7.158999999999999
321,6.664999999999999
322,7.353999999999999
323,4.918
324,7.6739999999999995
325,5.4239999999999995
326,4.305
327,7.603
328,6.465000000000001
329,11.393000000000002
330,8.090999999999998
331,6.372
332,5.4510000000000005
333,10.179999999999998
334,7.936
335,8.894
336,8.546
337,8.615
338,7.4670000000000005
339,8.0
340,5.275
341,7.314
342,7.066
343,9.027000000000001
344,7.605000000000001
345,9.948
346,7.316
347,9.551000000000002
348,5.689
349,8.232000000000001
350,8.576
351,7.551
352,9.96
353,8.287
354,11.481
355,6.7
356,7.302999999999999
357,6.189
358,9.851999999999999
359,10.056000000000001
360,8.989
361,7.135000000000001
362,6.901999999999999
363,7.784000000000001
364,9.848
365,7.095000000000001
366,6.882000000000001
367,7.698
368,8.827000000000002
369,6.6209999999999996
370,9.415000000000001
371,4.673
372,7.464
373,6.509
374,10.030000000000001
375,7.0120000000000005
376,7.739
377,5.374
378,6.442
379,8.287
380,7.428
381,8.687000000000001
382,7.734999999999999
383,7.417999999999999
384,8.142
385,3.8619999999999997
386,8.552000000000001
387,6.674000000000001
388,8.764
389,4.086
390,9.969000000000003
391,8.204
392,7.368
393,9.815000000000001
394,9.658
395,1.709
396,8.733999999999998
397,7.490999999999998
398,7.436
399,7.955
400,7.241
401,6.866
402,3.1690000000000005
403,10.976999999999999
404,6.905999999999999
405,5.797
406,9.984000000000002
407,5.187000000000001
408,7.1
409,4.781
410,10.616000000000001
411,9.869
412,4.6979999999999995
413,6.352
414,9.514
415,10.337
416,5.446999999999999
417,9.203
418,5.743
419,10.616000000000001
420,7.244999999999999
421,6.304
422,5.779999999999999
423,7.768000000000001
424,5.4510000000000005
425,6.949999999999998
426,9.52
427,8.768
428,8.563
429,9.231
430,6.404999999999999
431,11.133000000000001
432,8.252
433,8.148
434,10.884
435,7.159999999999999
436,8.026
437,4.514999999999999
438,6.009000000000002
439,7.002999999999998
440,6.493
441,8.418000000000001
442,6.621
443,10.643
444,10.643
445,8.991999999999999
446,11.366
447,7.988000000000001
448,8.880999999999998
449,8.5
450,6.965000000000001
451,10.616000000000001
452,7.484999999999999
453,9.967
454,8.723
455,7.256
456,8.486
457,8.754
458,8.836
459,5.019
460,8.578
461,5.560000000000001
462,9.344000000000001
463,6.0550000000000015
464,6.714
465,9.471
466,4.428
467,5.807
468,7.807000000000002
469,6.1480000000000015
470,8.562000000000001
471,8.893
472,9.934000000000001
473,5.869
474,5.305000000000001
475,6.003000000000001
476,10.967
477,10.614
478,4.519
479,6.667999999999999
480,6.009000000000002
481,5.478
482,8.352
483,5.017
484,3.836999999999999
485,8.946000000000002
486,8.320999999999998
487,8.592
488,4.091
489,6.893000000000001
490,4.519
491,6.141
492,7.4959999999999996
493,8.456
494,8.22
495,11.270999999999999
496,7.1739999999999995
497,5.019
498,8.149000000000001
499,8.915
500,9.825000000000001
501,10.197999999999999
502,10.806000000000001
503,9.505
504,9.785
505,7.518000000000001
506,10.643
507,7.706999999999999
508,7.355999999999999
509,8.718999999999998
510,6.322000000000001
511,9.407
512,7.776000000000001
513,6.841999999999999
514,5.024
515,8.848
516,9.513000000000002
517,8.232
518,6.5760000000000005
519,8.166
520,6.1659999999999995
521,9.727999999999998
522,4.624
523,6.468000000000001
524,7.0120000000000005
525,7.882
526,8.278
527,8.206
528,2.419
529,5.019
530,10.16
531,10.55
532,5.731999999999999
533,9.565000000000001
534,7.905000000000001
535,13.168999999999997
536,9.407
537,8.308
538,6.517999999999999
539,6.748
540,12.504999999999999
541,9.23
542,5.214
543,8.851
544,9.641000000000002
545,8.276
546,6.851000000000001
547,8.95
548,6.603
549,5.375
550,6.736
551,5.307999999999999
552,7.044
553,6.509
554,5.383999999999999
555,5.171000000000001
556,5.597
557,10.643
558,7.7730000000000015
559,6.340000000000001
560,6.143
561,12.844
562,4.673
563,6.0550000000000015
564,5.979999999999999
565,7.239
566,5.385
567,9.937000000000001
568,8.122000000000002
569,9.856
570,9.471
571,4.714
572,6.925999999999999
573,9.819999999999999
574,8.610000000000001
575,6.266
576,5.412000000000001
577,6.831
578,4.083
579,8.0
580,11.838000000000001
581,6.016000000000003
582,5.798
583,4.1690000000000005
584,6.936
585,9.263000000000002
586,8.870999999999999
587,7.053999999999999
588,11.146
589,6.9159999999999995
590,7.566999999999998
591,7.821000000000001
592,7.965000000000002
593,6.710000000000001
594,6.937
595,7.633999999999999
596,6.486
597,7.147
598,7.488999999999999
599,7.6129999999999995
600,6.066000000000001
601,6.988000000000001
602,7.723999999999999
603,11.427
604,9.07
605,7.2829999999999995
606,2.249
607,8.609
608,4.377999999999999
609,8.575000000000001
610,9.833
611,9.120000000000001
612,8.576
613,8.212
614,5.236000000000001
615,11.334000000000001
616,5.8809999999999985
617,6.876
618,12.131
619,5.977
620,8.489999999999998
621,5.497
622,11.437000000000001
623,9.682999999999998
624,6.0550000000000015
625,6.509
626,5.488
627,6.509
628,4.512
629,6.418000000000001
630,6.004
631,6.284
632,7.606999999999999
633,5.529999999999999
634,5.793000000000001
635,7.775999999999999
636,6.5200000000000005
637,9.866
638,6.2700000000000005
639,5.025999999999999
640,8.699
641,6.5920000000000005
642,5.383999999999999
643,8.946000000000002
644,5.068
645,11.473
646,7.4959999999999996
647,6.987
648,5.016
649,10.014000000000001
650,9.24
651,5.859
652,7.633
653,6.989999999999999
654,9.601
655,5.042
656,7.698
657,5.036999999999999
658,5.091
659,6.331
660,9.989
661,6.509
662,7.395999999999999
663,6.509
664,1.754
665,11.620000000000001
666,8.894
667,8.373999999999999
668,5.082
669,11.861
670,7.386
671,10.55
672,6.028000000000001
673,6.025
674,7.745
675,11.422
676,11.133000000000001
677,3.432
678,8.219
679,8.048999999999998
680,3.432
681,4.083
682,9.258999999999999
683,6.509
684,7.886
685,8.936
